areaType,areaName,areaCode,date,newCasesBySpecimenDate,cumCasesBySpecimenDate,newFirstEpisodesBySpecimenDate,cumFirstEpisodesBySpecimenDate,newReinfectionsBySpecimenDate,cumReinfectionsBySpecimenDate
nation,England,E92000001,2022-02-11,34944,15618020,31726,14966373,3218,651647
nation,England,E92000001,2022-02-10,41331,15583076,37253,14934647,4078,648429
nation,England,E92000001,2022-02-09,51013,15541745,45961,14897394,5052,644351
nation,England,E92000001,2022-02-08,55437,15490732,49986,14851433,5451,639299
nation,England,E92000001,2022-02-07,62672,15435295,56300,14801447,6372,633848
nation,England,E92000001,2022-02-06,50148,15372623,45157,14745147,4991,627476
nation,England,E92000001,2022-02-05,43233,15322475,39309,14699990,3924,622485
nation,England,E92000001,2022-02-04,52556,15279242,47718,14660681,4838,618561
nation,England,E92000001,2022-02-03,64032,15226686,57740,14612963,6292,613723
nation,England,E92000001,2022-02-02,73908,15162654,66617,14555223,7291,607431
nation,England,E92000001,2022-02-01,78511,15088746,70497,14488606,8014,600140
nation,England,E92000001,2022-01-31,88502,15010235,79482,14418109,9020,592126
nation,England,E92000001,2022-01-30,74980,14921733,67592,14338627,7388,583106
nation,England,E92000001,2022-01-29,63024,14846753,57279,14271035,5745,575718
nation,England,E92000001,2022-01-28,71682,14783729,64865,14213756,6817,569973
nation,England,E92000001,2022-01-27,82726,14712047,74670,14148891,8056,563156
nation,England,E92000001,2022-01-26,93211,14629321,83995,14074221,9216,555100
nation,England,E92000001,2022-01-25,96955,14536110,87345,13990226,9610,545884
nation,England,E92000001,2022-01-24,109233,14439155,98279,13902881,10954,536274
nation,England,E92000001,2022-01-23,88558,14329922,80099,13804602,8459,525320
nation,England,E92000001,2022-01-22,70483,14241364,64188,13724503,6295,516861
nation,England,E92000001,2022-01-21,79172,14170881,71811,13660315,7361,510566
nation,England,E92000001,2022-01-20,86951,14091709,78892,13588504,8059,503205
nation,England,E92000001,2022-01-19,97335,14004758,88154,13509612,9181,495146
nation,England,E92000001,2022-01-18,103308,13907423,93489,13421458,9819,485965
nation,England,E92000001,2022-01-17,114776,13804115,103816,13327969,10960,476146
nation,England,E92000001,2022-01-16,85599,13689339,77694,13224153,7905,465186
nation,England,E92000001,2022-01-15,67821,13603740,62053,13146459,5768,457281
nation,England,E92000001,2022-01-14,75174,13535919,68447,13084406,6727,451513
nation,England,E92000001,2022-01-13,84132,13460745,76293,13015959,7839,444786
nation,England,E92000001,2022-01-12,90000,13376613,81437,12939666,8563,436947
nation,England,E92000001,2022-01-11,100979,13286613,91494,12858229,9485,428384
nation,England,E92000001,2022-01-10,116343,13185634,105282,12766735,11061,418899
nation,England,E92000001,2022-01-09,83081,13069291,75307,12661453,7774,407838
nation,England,E92000001,2022-01-08,81221,12986210,73722,12586146,7499,400064
nation,England,E92000001,2022-01-07,105080,12904989,94766,12512424,10314,392565
nation,England,E92000001,2022-01-06,150786,12799909,134875,12417658,15911,382251
nation,England,E92000001,2022-01-05,183798,12649123,164545,12282783,19253,366340
nation,England,E92000001,2022-01-04,234873,12465325,210588,12118238,24285,347087
nation,England,E92000001,2022-01-03,193617,12230452,173526,11907650,20091,322802
nation,England,E92000001,2022-01-02,148609,12036835,133959,11734124,14650,302711
nation,England,E92000001,2022-01-01,99303,11888226,90305,11600165,8998,288061
nation,England,E92000001,2021-12-31,152887,11788923,138929,11509860,13958,279063
nation,England,E92000001,2021-12-30,192825,11636036,175037,11370931,17788,265105
nation,England,E92000001,2021-12-29,224031,11443211,204432,11195894,19599,247317
nation,England,E92000001,2021-12-28,170586,11219180,155666,10991462,14920,227718
nation,England,E92000001,2021-12-27,155567,11048594,142564,10835796,13003,212798
nation,England,E92000001,2021-12-26,98918,10893027,91202,10693232,7716,199795
nation,England,E92000001,2021-12-25,59912,10794109,55563,10602030,4349,192079
nation,England,E92000001,2021-12-24,117562,10734197,108028,10546467,9534,187730
nation,England,E92000001,2021-12-23,137021,10616635,125445,10438439,11576,178196
nation,England,E92000001,2021-12-22,138142,10479614,126489,10312994,11653,166620
nation,England,E92000001,2021-12-21,129599,10341472,119021,10186505,10578,154967
nation,England,E92000001,2021-12-20,117577,10211873,108419,10067484,9158,144389
nation,England,E92000001,2021-12-19,78497,10094296,72713,9959065,5784,135231
nation,England,E92000001,2021-12-18,78930,10015799,73210,9886352,5720,129447
nation,England,E92000001,2021-12-17,84967,9936869,78647,9813142,6320,123727
nation,England,E92000001,2021-12-16,93804,9851902,86931,9734495,6873,117407
nation,England,E92000001,2021-12-15,99655,9758098,92594,9647564,7061,110534
nation,England,E92000001,2021-12-14,90717,9658443,84773,9554970,5944,103473
nation,England,E92000001,2021-12-13,76507,9567726,72509,9470197,3998,97529
nation,England,E92000001,2021-12-12,46367,9491219,44506,9397688,1861,93531
nation,England,E92000001,2021-12-11,41940,9444852,40517,9353182,1423,91670
nation,England,E92000001,2021-12-10,45018,9402912,43540,9312665,1478,90247
nation,England,E92000001,2021-12-09,48817,9357894,47248,9269125,1569,88769
nation,England,E92000001,2021-12-08,50059,9309077,48591,9221877,1468,87200
nation,England,E92000001,2021-12-07,48146,9259018,46903,9173286,1243,85732
nation,England,E92000001,2021-12-06,51123,9210872,49979,9126383,1144,84489
nation,England,E92000001,2021-12-05,35037,9159749,34455,9076404,582,83345
nation,England,E92000001,2021-12-04,33380,9124712,32837,9041949,543,82763
nation,England,E92000001,2021-12-03,39222,9091332,38624,9009112,598,82220
nation,England,E92000001,2021-12-02,43045,9052110,42392,8970488,653,81622
nation,England,E92000001,2021-12-01,47263,9009065,46562,8928096,701,80969
nation,England,E92000001,2021-11-30,47632,8961802,46946,8881534,686,80268
nation,England,E92000001,2021-11-29,47939,8914170,47190,8834588,749,79582
nation,England,E92000001,2021-11-28,33857,8866231,33400,8787398,457,78833
nation,England,E92000001,2021-11-27,28459,8832374,28080,8753998,379,78376
nation,England,E92000001,2021-11-26,33666,8803915,33212,8725918,454,77997
nation,England,E92000001,2021-11-25,37143,8770249,36588,8692706,555,77543
nation,England,E92000001,2021-11-24,39881,8733106,39315,8656118,566,76988
nation,England,E92000001,2021-11-23,41015,8693225,40483,8616803,532,76422
nation,England,E92000001,2021-11-22,42869,8652210,42310,8576320,559,75890
nation,England,E92000001,2021-11-21,31761,8609341,31358,8534010,403,75331
nation,England,E92000001,2021-11-20,29868,8577580,29498,8502652,370,74928
nation,England,E92000001,2021-11-19,33184,8547712,32772,8473154,412,74558
nation,England,E92000001,2021-11-18,37099,8514528,36607,8440382,492,74146
nation,England,E92000001,2021-11-17,38257,8477429,37771,8403775,486,73654
nation,England,E92000001,2021-11-16,38656,8439172,38112,8366004,544,73168
nation,England,E92000001,2021-11-15,42477,8400516,41891,8327892,586,72624
nation,England,E92000001,2021-11-14,29599,8358039,29242,8286001,357,72038
nation,England,E92000001,2021-11-13,27358,8328440,27042,8256759,316,71681
nation,England,E92000001,2021-11-12,31337,8301082,30918,8229717,419,71365
nation,England,E92000001,2021-11-11,33700,8269745,33235,8198799,465,70946
nation,England,E92000001,2021-11-10,35390,8236045,34912,8165564,478,70481
nation,England,E92000001,2021-11-09,34679,8200655,34205,8130652,474,70003
nation,England,E92000001,2021-11-08,36138,8165976,35607,8096447,531,69529
nation,England,E92000001,2021-11-07,25447,8129838,25107,8060840,340,68998
nation,England,E92000001,2021-11-06,22581,8104391,22280,8035733,301,68658
nation,England,E92000001,2021-11-05,24405,8081810,24039,8013453,366,68357
nation,England,E92000001,2021-11-04,27379,8057405,27033,7989414,346,67991
nation,England,E92000001,2021-11-03,29396,8030026,29014,7962381,382,67645
nation,England,E92000001,2021-11-02,31328,8000630,30911,7933367,417,67263
nation,England,E92000001,2021-11-01,37663,7969302,37116,7902456,547,66846
nation,England,E92000001,2021-10-31,29564,7931639,29166,7865340,398,66299
nation,England,E92000001,2021-10-30,28243,7902075,27952,7836174,291,65901
nation,England,E92000001,2021-10-29,33995,7873832,33562,7808222,433,65610
nation,England,E92000001,2021-10-28,35077,7839837,34647,7774660,430,65177
nation,England,E92000001,2021-10-27,36524,7804760,36100,7740013,424,64747
nation,England,E92000001,2021-10-26,35276,7768236,34861,7703913,415,64323
nation,England,E92000001,2021-10-25,39958,7732960,39460,7669052,498,63908
nation,England,E92000001,2021-10-24,30091,7693002,29747,7629592,344,63410
nation,England,E92000001,2021-10-23,29747,7662911,29419,7599845,328,63066
nation,England,E92000001,2021-10-22,34506,7633164,34087,7570426,419,62738
nation,England,E92000001,2021-10-21,38581,7598658,38113,7536339,468,62319
nation,England,E92000001,2021-10-20,43963,7560077,43482,7498226,481,61851
nation,England,E92000001,2021-10-19,44630,7516114,44105,7454744,525,61370
nation,England,E92000001,2021-10-18,49257,7471484,48654,7410639,603,60845
nation,England,E92000001,2021-10-17,37501,7422227,37120,7361985,381,60242
nation,England,E92000001,2021-10-16,31639,7384726,31301,7324865,338,59861
nation,England,E92000001,2021-10-15,36631,7353087,36254,7293564,377,59523
nation,England,E92000001,2021-10-14,39262,7316456,38780,7257310,482,59146
nation,England,E92000001,2021-10-13,40547,7277194,40096,7218530,451,58664
nation,England,E92000001,2021-10-12,40892,7236647,40395,7178434,497,58213
nation,England,E92000001,2021-10-11,43115,7195755,42656,7138039,459,57716
nation,England,E92000001,2021-10-10,31499,7152640,31160,7095383,339,57257
nation,England,E92000001,2021-10-09,27180,7121141,26865,7064223,315,56918
nation,England,E92000001,2021-10-08,29848,7093961,29495,7037358,353,56603
nation,England,E92000001,2021-10-07,32158,7064113,31790,7007863,368,56250
nation,England,E92000001,2021-10-06,32547,7031955,32176,6976073,371,55882
nation,England,E92000001,2021-10-05,32269,6999408,31875,6943897,394,55511
nation,England,E92000001,2021-10-04,36475,6967139,36086,6912022,389,55117
nation,England,E92000001,2021-10-03,27138,6930664,26848,6875936,290,54728
nation,England,E92000001,2021-10-02,21873,6903526,21655,6849088,218,54438
nation,England,E92000001,2021-10-01,24134,6881653,23857,6827433,277,54220
nation,England,E92000001,2021-09-30,26808,6857519,26503,6803576,305,53943
nation,England,E92000001,2021-09-29,28689,6830711,28378,6777073,311,53638
nation,England,E92000001,2021-09-28,29628,6802022,29266,6748695,362,53327
nation,England,E92000001,2021-09-27,34595,6772394,34164,6719429,431,52965
nation,England,E92000001,2021-09-26,26814,6737799,26477,6685265,337,52534
nation,England,E92000001,2021-09-25,23389,6710985,23118,6658788,271,52197
nation,England,E92000001,2021-09-24,25754,6687596,25426,6635670,328,51926
nation,England,E92000001,2021-09-23,28340,6661842,27939,6610244,401,51598
nation,England,E92000001,2021-09-22,28788,6633502,28434,6582305,354,51197
nation,England,E92000001,2021-09-21,30547,6604714,30181,6553871,366,50843
nation,England,E92000001,2021-09-20,32121,6574167,31714,6523690,407,50477
nation,England,E92000001,2021-09-19,24789,6542046,24479,6491976,310,50070
nation,England,E92000001,2021-09-18,20926,6517257,20672,6467497,254,49760
nation,England,E92000001,2021-09-17,22375,6496331,22113,6446825,262,49506
nation,England,E92000001,2021-09-16,22320,6473956,22041,6424712,279,49244
nation,England,E92000001,2021-09-15,22414,6451636,22148,6402671,266,48965
nation,England,E92000001,2021-09-14,22641,6429222,22344,6380523,297,48699
nation,England,E92000001,2021-09-13,25199,6406581,24869,6358179,330,48402
nation,England,E92000001,2021-09-12,17879,6381382,17643,6333310,236,48072
nation,England,E92000001,2021-09-11,16956,6363503,16740,6315667,216,47836
nation,England,E92000001,2021-09-10,21031,6346547,20736,6298927,295,47620
nation,England,E92000001,2021-09-09,24440,6325516,24122,6278191,318,47325
nation,England,E92000001,2021-09-08,25659,6301076,25270,6254069,389,47007
nation,England,E92000001,2021-09-07,27938,6275417,27585,6228799,353,46618
nation,England,E92000001,2021-09-06,33135,6247479,32685,6201214,450,46265
nation,England,E92000001,2021-09-05,23457,6214344,23160,6168529,297,45815
nation,England,E92000001,2021-09-04,23409,6190887,23140,6145369,269,45518
nation,England,E92000001,2021-09-03,28730,6167478,28368,6122229,362,45249
nation,England,E92000001,2021-09-02,30636,6138748,30229,6093861,407,44887
nation,England,E92000001,2021-09-01,31600,6108112,31217,6063632,383,44480
nation,England,E92000001,2021-08-31,33565,6076512,33122,6032415,443,44097
nation,England,E92000001,2021-08-30,24973,6042947,24648,5999293,325,43654
nation,England,E92000001,2021-08-29,19152,6017974,18909,5974645,243,43329
nation,England,E92000001,2021-08-28,20138,5998822,19903,5955736,235,43086
nation,England,E92000001,2021-08-27,24253,5978684,23954,5935833,299,42851
nation,England,E92000001,2021-08-26,26482,5954431,26116,5911879,366,42552
nation,England,E92000001,2021-08-25,27901,5927949,27545,5885763,356,42186
nation,England,E92000001,2021-08-24,28212,5900048,27836,5858218,376,41830
nation,England,E92000001,2021-08-23,30333,5871836,29948,5830382,385,41454
nation,England,E92000001,2021-08-22,22409,5841503,22157,5800434,252,41069
nation,England,E92000001,2021-08-21,22605,5819094,22343,5778277,262,40817
nation,England,E92000001,2021-08-20,25555,5796489,25235,5755934,320,40555
nation,England,E92000001,2021-08-19,29081,5770934,28678,5730699,403,40235
nation,England,E92000001,2021-08-18,31426,5741853,30979,5702021,447,39832
nation,England,E92000001,2021-08-17,31095,5710427,30626,5671042,469,39385
nation,England,E92000001,2021-08-16,30861,5679332,30424,5640416,437,38916
nation,England,E92000001,2021-08-15,21280,5648471,21019,5609992,261,38479
nation,England,E92000001,2021-08-14,21336,5627191,21103,5588973,233,38218
nation,England,E92000001,2021-08-13,24992,5605855,24671,5567870,321,37985
nation,England,E92000001,2021-08-12,27690,5580863,27304,5543199,386,37664
nation,England,E92000001,2021-08-11,29135,5553173,28779,5515895,356,37278
nation,England,E92000001,2021-08-10,27610,5524038,27216,5487116,394,36922
nation,England,E92000001,2021-08-09,28292,5496428,27877,5459900,415,36528
nation,England,E92000001,2021-08-08,20157,5468136,19900,5432023,257,36113
nation,England,E92000001,2021-08-07,19957,5447979,19678,5412123,279,35856
nation,England,E92000001,2021-08-06,24851,5428022,24500,5392445,351,35577
nation,England,E92000001,2021-08-05,28126,5403171,27758,5367945,368,35226
nation,England,E92000001,2021-08-04,28895,5375045,28499,5340187,396,34858
nation,England,E92000001,2021-08-03,27062,5346150,26696,5311688,366,34462
nation,England,E92000001,2021-08-02,26580,5319088,26197,5284992,383,34096
nation,England,E92000001,2021-08-01,18714,5292508,18472,5258795,242,33713
nation,England,E92000001,2021-07-31,18450,5273794,18173,5240323,277,33471
nation,England,E92000001,2021-07-30,22109,5255344,21788,5222150,321,33194
nation,England,E92000001,2021-07-29,25361,5233235,25012,5200362,349,32873
nation,England,E92000001,2021-07-28,26925,5207874,26568,5175350,357,32524
nation,England,E92000001,2021-07-27,26027,5180949,25651,5148782,376,32167
nation,England,E92000001,2021-07-26,26541,5154922,26174,5123131,367,31791
nation,England,E92000001,2021-07-25,19657,5128381,19406,5096957,251,31424
nation,England,E92000001,2021-07-24,20276,5108724,20013,5077551,263,31173
nation,England,E92000001,2021-07-23,24586,5088448,24280,5057538,306,30910
nation,England,E92000001,2021-07-22,27711,5063862,27382,5033258,329,30604
nation,England,E92000001,2021-07-21,31676,5036151,31292,5005876,384,30275
nation,England,E92000001,2021-07-20,35947,5004475,35417,4974584,530,29891
nation,England,E92000001,2021-07-19,43401,4968528,42819,4939167,582,29361
nation,England,E92000001,2021-07-18,33164,4925127,32766,4896348,398,28779
nation,England,E92000001,2021-07-17,35281,4891963,34904,4863582,377,28381
nation,England,E92000001,2021-07-16,51138,4856682,50518,4828678,620,28004
nation,England,E92000001,2021-07-15,57583,4805544,56823,4778160,760,27384
nation,England,E92000001,2021-07-14,50320,4747961,49653,4721337,667,26624
nation,England,E92000001,2021-07-13,43247,4697641,42657,4671684,590,25957
nation,England,E92000001,2021-07-12,40477,4654394,39957,4629027,520,25367
nation,England,E92000001,2021-07-11,27418,4613917,27133,4589070,285,24847
nation,England,E92000001,2021-07-10,25411,4586499,25117,4561937,294,24562
nation,England,E92000001,2021-07-09,29050,4561088,28693,4536820,357,24268
nation,England,E92000001,2021-07-08,29929,4532038,29538,4508127,391,23911
nation,England,E92000001,2021-07-07,34274,4502109,33813,4478589,461,23520
nation,England,E92000001,2021-07-06,31627,4467835,31200,4444776,427,23059
nation,England,E92000001,2021-07-05,30215,4436208,29763,4413576,452,22632
nation,England,E92000001,2021-07-04,21806,4405993,21525,4383813,281,22180
nation,England,E92000001,2021-07-03,20638,4384187,20364,4362288,274,21899
nation,England,E92000001,2021-07-02,22287,4363549,21955,4341924,332,21625
nation,England,E92000001,2021-07-01,24267,4341262,23840,4319969,427,21293
nation,England,E92000001,2021-06-30,23941,4316995,23593,4296129,348,20866
nation,England,E92000001,2021-06-29,23250,4293054,22881,4272536,369,20518
nation,England,E92000001,2021-06-28,23511,4269804,23077,4249655,434,20149
nation,England,E92000001,2021-06-27,15407,4246293,15150,4226578,257,19715
nation,England,E92000001,2021-06-26,13486,4230886,13273,4211428,213,19458
nation,England,E92000001,2021-06-25,14901,4217400,14626,4198155,275,19245
nation,England,E92000001,2021-06-24,15084,4202499,14815,4183529,269,18970
nation,England,E92000001,2021-06-23,14806,4187415,14524,4168714,282,18701
nation,England,E92000001,2021-06-22,13563,4172609,13315,4154190,248,18419
nation,England,E92000001,2021-06-21,12707,4159046,12486,4140875,221,18171
nation,England,E92000001,2021-06-20,8203,4146339,8065,4128389,138,17950
nation,England,E92000001,2021-06-19,7127,4138136,6990,4120324,137,17812
nation,England,E92000001,2021-06-18,8772,4131009,8565,4113334,207,17675
nation,England,E92000001,2021-06-17,9523,4122237,9293,4104769,230,17468
nation,England,E92000001,2021-06-16,9411,4112714,9240,4095476,171,17238
nation,England,E92000001,2021-06-15,9153,4103303,8935,4086236,218,17067
nation,England,E92000001,2021-06-14,8941,4094150,8766,4077301,175,16849
nation,England,E92000001,2021-06-13,6075,4085209,5957,4068535,118,16674
nation,England,E92000001,2021-06-12,5422,4079134,5310,4062578,112,16556
nation,England,E92000001,2021-06-11,6510,4073712,6375,4057268,135,16444
nation,England,E92000001,2021-06-10,6718,4067202,6583,4050893,135,16309
nation,England,E92000001,2021-06-09,6919,4060484,6794,4044310,125,16174
nation,England,E92000001,2021-06-08,6630,4053565,6476,4037516,154,16049
nation,England,E92000001,2021-06-07,6791,4046935,6649,4031040,142,15895
nation,England,E92000001,2021-06-06,4730,4040144,4641,4024391,89,15753
nation,England,E92000001,2021-06-05,3964,4035414,3909,4019750,55,15664
nation,England,E92000001,2021-06-04,4886,4031450,4798,4015841,88,15609
nation,England,E92000001,2021-06-03,5131,4026564,5019,4011043,112,15521
nation,England,E92000001,2021-06-02,5039,4021433,4952,4006024,87,15409
nation,England,E92000001,2021-06-01,4515,4016394,4391,4001072,124,15322
nation,England,E92000001,2021-05-31,3170,4011879,3089,3996681,81,15198
nation,England,E92000001,2021-05-30,2598,4008709,2551,3993592,47,15117
nation,England,E92000001,2021-05-29,2462,4006111,2420,3991041,42,15070
nation,England,E92000001,2021-05-28,2929,4003649,2853,3988621,76,15028
nation,England,E92000001,2021-05-27,3075,4000720,2989,3985768,86,14952
nation,England,E92000001,2021-05-26,3179,3997645,3099,3982779,80,14866
nation,England,E92000001,2021-05-25,2797,3994466,2712,3979680,85,14786
nation,England,E92000001,2021-05-24,2750,3991669,2659,3976968,91,14701
nation,England,E92000001,2021-05-23,1918,3988919,1863,3974309,55,14610
nation,England,E92000001,2021-05-22,1606,3987001,1554,3972446,52,14555
nation,England,E92000001,2021-05-21,1872,3985395,1822,3970892,50,14503
nation,England,E92000001,2021-05-20,2000,3983523,1934,3969070,66,14453
nation,England,E92000001,2021-05-19,2261,3981523,2194,3967136,67,14387
nation,England,E92000001,2021-05-18,2241,3979262,2165,3964942,76,14320
nation,England,E92000001,2021-05-17,2341,3977021,2264,3962777,77,14244
nation,England,E92000001,2021-05-16,1587,3974680,1542,3960513,45,14167
nation,England,E92000001,2021-05-15,1306,3973093,1271,3958971,35,14122
nation,England,E92000001,2021-05-14,1540,3971787,1482,3957700,58,14087
nation,England,E92000001,2021-05-13,1737,3970247,1679,3956218,58,14029
nation,England,E92000001,2021-05-12,1869,3968510,1798,3954539,71,13971
nation,England,E92000001,2021-05-11,1872,3966641,1806,3952741,66,13900
nation,England,E92000001,2021-05-10,2325,3964769,2260,3950935,65,13834
nation,England,E92000001,2021-05-09,1985,3962444,1915,3948675,70,13769
nation,England,E92000001,2021-05-08,1301,3960459,1260,3946760,41,13699
nation,England,E92000001,2021-05-07,1657,3959158,1599,3945500,58,13658
nation,England,E92000001,2021-05-06,1967,3957501,1884,3943901,83,13600
nation,England,E92000001,2021-05-05,2203,3955534,2109,3942017,94,13517
nation,England,E92000001,2021-05-04,2200,3953331,2121,3939908,79,13423
nation,England,E92000001,2021-05-03,1806,3951131,1752,3937787,54,13344
nation,England,E92000001,2021-05-02,1305,3949325,1257,3936035,48,13290
nation,England,E92000001,2021-05-01,1211,3948020,1168,3934778,43,13242
nation,England,E92000001,2021-04-30,1528,3946809,1456,3933610,72,13199
nation,England,E92000001,2021-04-29,1901,3945281,1819,3932154,82,13127
nation,England,E92000001,2021-04-28,2153,3943380,2080,3930335,73,13045
nation,England,E92000001,2021-04-27,1809,3941227,1750,3928255,59,12972
nation,England,E92000001,2021-04-26,2267,3939418,2163,3926505,104,12913
nation,England,E92000001,2021-04-25,1897,3937151,1831,3924342,66,12809
nation,England,E92000001,2021-04-24,1300,3935254,1256,3922511,44,12743
nation,England,E92000001,2021-04-23,1701,3933954,1626,3921255,75,12699
nation,England,E92000001,2021-04-22,2032,3932253,1944,3919629,88,12624
nation,England,E92000001,2021-04-21,2298,3930221,2215,3917685,83,12536
nation,England,E92000001,2021-04-20,2112,3927923,2005,3915470,107,12453
nation,England,E92000001,2021-04-19,2268,3925811,2182,3913465,86,12346
nation,England,E92000001,2021-04-18,2281,3923543,2214,3911283,67,12260
nation,England,E92000001,2021-04-17,1398,3921262,1361,3909069,37,12193
nation,England,E92000001,2021-04-16,1963,3919864,1902,3907708,61,12156
nation,England,E92000001,2021-04-15,1959,3917901,1885,3905806,74,12095
nation,England,E92000001,2021-04-14,2068,3915942,2009,3903921,59,12021
nation,England,E92000001,2021-04-13,2060,3913874,1981,3901912,79,11962
nation,England,E92000001,2021-04-12,2399,3911814,2317,3899931,82,11883
nation,England,E92000001,2021-04-11,2020,3909415,1983,3897614,37,11801
nation,England,E92000001,2021-04-10,2009,3907395,1972,3895631,37,11764
nation,England,E92000001,2021-04-09,2482,3905386,2420,3893659,62,11727
nation,England,E92000001,2021-04-08,2651,3902904,2573,3891239,78,11665
nation,England,E92000001,2021-04-07,2752,3900253,2688,3888666,64,11587
nation,England,E92000001,2021-04-06,2756,3897501,2681,3885978,75,11523
nation,England,E92000001,2021-04-05,2314,3894745,2269,3883297,45,11448
nation,England,E92000001,2021-04-04,2042,3892431,2005,3881028,37,11403
nation,England,E92000001,2021-04-03,2121,3890389,2095,3879023,26,11366
nation,England,E92000001,2021-04-02,2248,3888268,2212,3876928,36,11340
nation,England,E92000001,2021-04-01,3067,3886020,3015,3874716,52,11304
nation,England,E92000001,2021-03-31,3340,3882953,3284,3871701,56,11252
nation,England,E92000001,2021-03-30,3135,3879613,3079,3868417,56,11196
nation,England,E92000001,2021-03-29,3422,3876478,3363,3865338,59,11140
nation,England,E92000001,2021-03-28,4477,3873056,4416,3861975,61,11081
nation,England,E92000001,2021-03-27,3136,3868579,3097,3857559,39,11020
nation,England,E92000001,2021-03-26,3803,3865443,3756,3854462,47,10981
nation,England,E92000001,2021-03-25,4674,3861640,4609,3850706,65,10934
nation,England,E92000001,2021-03-24,5321,3856966,5252,3846097,69,10869
nation,England,E92000001,2021-03-23,4566,3851645,4505,3840845,61,10800
nation,England,E92000001,2021-03-22,5400,3847079,5342,3836340,58,10739
nation,England,E92000001,2021-03-21,4679,3841679,4630,3830998,49,10681
nation,England,E92000001,2021-03-20,3514,3837000,3485,3826368,29,10632
nation,England,E92000001,2021-03-19,4333,3833486,4278,3822883,55,10603
nation,England,E92000001,2021-03-18,4689,3829153,4658,3818605,31,10548
nation,England,E92000001,2021-03-17,5048,3824464,5001,3813947,47,10517
nation,England,E92000001,2021-03-16,4933,3819416,4889,3808946,44,10470
nation,England,E92000001,2021-03-15,5643,3814483,5589,3804057,54,10426
nation,England,E92000001,2021-03-14,3707,3808840,3676,3798468,31,10372
nation,England,E92000001,2021-03-13,3592,3805133,3564,3794792,28,10341
nation,England,E92000001,2021-03-12,4767,3801541,4730,3791228,37,10313
nation,England,E92000001,2021-03-11,4848,3796774,4809,3786498,39,10276
nation,England,E92000001,2021-03-10,5222,3791926,5164,3781689,58,10237
nation,England,E92000001,2021-03-09,5488,3786704,5409,3776525,79,10179
nation,England,E92000001,2021-03-08,5818,3781216,5734,3771116,84,10100
nation,England,E92000001,2021-03-07,3677,3775398,3648,3765382,29,10016
nation,England,E92000001,2021-03-06,3832,3771721,3809,3761734,23,9987
nation,England,E92000001,2021-03-05,4728,3767889,4678,3757925,50,9964
nation,England,E92000001,2021-03-04,5011,3763161,4956,3753247,55,9914
nation,England,E92000001,2021-03-03,5305,3758150,5252,3748291,53,9859
nation,England,E92000001,2021-03-02,5950,3752845,5855,3743039,95,9806
